Date,Category,Title,Link
2026-04-26 06:58:00,Yaşam,Bugün ne pişirsem diyenlere: Günlük ev yemeği menüsü (26 Nisan 2026),https://www.hurriyet.com.tr/lezizz/bugun-ne-pisirsem-diyenlere-gunluk-ev-yemegi-menusu-26-nisan-2026-43159576
2026-04-26 04:00:00,Yaşam,"Cilt sağlığının anahtarları: Bakım, beslenme ve psikolojik denge",https://www.hurriyet.com.tr/kelebek/hurriyet-pazar/cilt-sagliginin-anahtarlari-bakim-beslenme-ve-psikolojik-denge-43159509
2026-04-26 04:00:00,Yaşam,Sınavlar ve sorunlar silsilesi,https://www.hurriyet.com.tr/kelebek/hurriyet-pazar/sinavlar-ve-sorunlar-silsilesi-43159514
2026-04-26 04:00:00,Yaşam,‘Şeytan’ın geri dönüşüne hazır mısınız?,https://www.hurriyet.com.tr/kelebek/hurriyet-pazar/seytanin-geri-donusune-hazir-misiniz-43159517
2026-04-26 04:00:00,Yaşam,Yapay zekâ çağında duygusal zekâmız ne durumda?,https://www.hurriyet.com.tr/kelebek/hurriyet-pazar/yapay-zeka-caginda-duygusal-zekamiz-ne-durumda-43159518
2026-04-26 04:00:00,Yaşam,Zuhal Olcay: Çok güçlü görünen ama kırılgan biriyim,https://www.hurriyet.com.tr/kelebek/hurriyet-pazar/zuhal-olcay-cok-guclu-gorunen-ama-kirilgan-biriyim-43159519
2026-04-26 04:00:00,Yaşam,‘Tarihçiler barış çağlarının kitabını yazmaz’,https://www.hurriyet.com.tr/kelebek/hurriyet-pazar/tarihciler-baris-caglarinin-kitabini-yazmaz-43159522
2026-04-26 04:00:00,Yaşam,"‘Unutmayalım ki önlemek, müdahaleden daha güçlüdür’",https://www.hurriyet.com.tr/kelebek/hurriyet-pazar/unutmayalim-ki-onlemek-mudahaleden-daha-gucludur-43159524
2026-04-26 04:00:00,Yaşam,Klasik bale hip-hop’la birleşince ‘SWANS’,https://www.hurriyet.com.tr/kelebek/hurriyet-pazar/klasik-bale-hip-hopla-birlesince-swans-43159525
2026-04-25 06:29:00,Yaşam,Bugün ne pişirsem diyenlere: Günlük ev yemeği menüsü (25 Nisan 2026),https://www.hurriyet.com.tr/lezizz/bugun-ne-pisirsem-diyenlere-gunluk-ev-yemegi-menusu-25-nisan-2026-43158961
2026-04-25 04:00:00,Yaşam,Baharın yıldızlarıyla buluşan kişler soframızı ferahlatıyor,https://www.hurriyet.com.tr/kelebek/lezzetli-hayat/baharin-yildizlariyla-bulusan-kisler-soframizi-ferahlatiyor-43158905
2026-04-25 04:00:00,Yaşam,"Böylesini yemediniz! Kare, kremalı ama kurabiye",https://www.hurriyet.com.tr/kelebek/lezzetli-hayat/boylesini-yemediniz-kare-kremali-ama-kurabiye-43158906
2026-04-25 04:00:00,Yaşam,Gastronomi kazanında kaynayanlar,https://www.hurriyet.com.tr/kelebek/lezzetli-hayat/gastronomi-kazaninda-kaynayanlar-43158907
2026-04-25 04:00:00,Yaşam,‘Bazen fark yaratan şey yeniliktense doğru olandır’,https://www.hurriyet.com.tr/kelebek/lezzetli-hayat/bazen-fark-yaratan-sey-yeniliktense-dogru-olandir-43158911
2026-04-25 04:00:00,Yaşam,‘Asla yalnız izlemeyeceksin’,https://www.hurriyet.com.tr/kelebek/hurriyet-cumartesi/asla-yalniz-izlemeyeceksin-43158913
2026-04-25 04:00:00,Yaşam,Cadde’nin ‘Japon’u,https://www.hurriyet.com.tr/kelebek/hurriyet-cumartesi/caddenin-japonu-43158916
2026-04-25 04:00:00,Yaşam,‘Yavrularımızı şiddet sarmalından nasıl çıkarabiliriz?’,https://www.hurriyet.com.tr/kelebek/cocukla-hayat/yavrularimizi-siddet-sarmalindan-nasil-cikarabiliriz-43158920
